nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,duration,i_open,considerations,applications,score_0,score_1,score_2,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2
225374,1516.543541666667,.34,2017,.1,4.149999991059303,.89999998,.5,2,2,3,0,1,1,6.5599999,5.98,6.3299999,0,0,0,1,0,0,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,0
225883,1785.437717391305,.40000001,2017,.17,4.209999993443489,1.02,.5,2,2,4,1,1,1,6.4699998,6.6999998,6.5,0,0,0,1,0,1,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225970,1358.108130841121,.34,2017,-.16,4.159999996423721,1,.25,2,1,1,1,3,2,7.6799998,6.8600001,7.0599999,1,0,1,1,1,0,1,0,0,0,1,4,3.9890938,3.75,2.75,0,1,1
225156,621.0152564102565,.56,2017,.08,4.049999997019768,.91000003,.75,1,2,4,1,1,1,6.8699999,7.6599998,7.1599998,0,1,1,1,1,0,1,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,1,1
225087,735.3796412556054,.44999999,2017,-.22,4.099999994039536,.82999998,.25,2,2,4,1,2,1,8.3400002,8.2399998,7.8099999,0,0,1,1,1,0,1,0,0,0,1,3.8799999,3.9890938,3.75,2.75,1,1,1
226088,735.3796412556054,.63,2017,-.19,4.189999997615814,1,.25,2,2,1,1,1,1,7.2199998,7.8499999,7.73,1,0,0,1,0,1,1,0,0,0,1,4,3.9890938,3.75,2.75,0,1,1
224961,1623.66,.36000001,2016,-.83,4.079999998211861,.95999998,.5,2,1,4,1,3,1,7.6900001,7.9400001,7.7800002,0,0,0,0,0,1,1,0,0,1,0,3.25,3.6166666,4.5,3.75,1,1,1
225234,621.0152564102565,.69999999,2017,.41,3.969999998807907,.86000001,.25,2,2,4,1,3,1,5.9499998,7.1300001,6.0500002,0,1,1,1,0,1,0,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225357,882.3526060606061,.44999999,2017,-.02,4.019999995827675,.80000001,.25,2,2,3,0,2,1,7.4899998,7.96,7.8699999,0,0,1,0,0,1,1,0,0,0,1,4,3.9890938,3.75,2.75,1,1,0
225334,882.3526060606061,.31,2017,-.05,4.299999997019768,.94999999,.5,2,2,4,1,1,1,7.1599998,7.8800001,8.0500002,0,0,1,0,0,1,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
225242,1623.66,.38,2017,.41,3.969999998807907,.94999999,.25,2,1,4,1,2,2,7.73,7.7800002,7.98,0,0,1,1,1,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225378,1358.108130841121,.33000001,2017,.17,4.209999993443489,.94999999,.5,2,2,4,1,2,1,7.5900002,7.5599999,7.6500001,0,0,1,0,1,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225639,1358.108130841121,.41999999,2017,-.9399999999999999,4.319999992847443,1.03,.5,2,2,1,1,1,1,7.1700001,7.6100001,7.5799999,1,1,1,1,0,1,0,0,0,0,1,3.3799999,3.9890938,3.75,2.75,0,1,1
225398,735.3796412556054,.43000001,2017,.35,4.029999986290932,.98000002,.5,2,1,4,1,1,1,7.0100002,6.3899999,6.3299999,0,1,0,1,0,1,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225053,882.3526060606061,.34999999,2017,.08,4.169999986886978,1.03,.5,2,2,4,1,2,1,8.1700001,7.75,7.75,0,0,1,1,0,1,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
226099,621.0152564102565,.86000001,2017,-.29,4.169999986886978,.83999997,.5,2,2,2,0,2,1,7.6599998,8.1700001,8.1999998,1,0,1,1,1,0,0,0,0,0,1,3.8799999,3.9890938,3.75,2.75,1,0,1
225597,1358.108130841121,.41999999,2017,.28,4.099999994039536,.68000001,.5,1,2,4,1,1,1,7.5500002,8.1000004,8.1499996,0,1,1,1,1,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
225466,621.0152564102565,.56,2017,.4,4.099999994039536,.75,.25,2,2,4,1,1,1,7.1599998,7.1999998,7.2800002,0,1,1,0,0,1,0,0,0,0,1,4.5,3.9890938,3.75,2.75,1,1,1
225730,621.0152564102565,.66000003,2017,.53,3.969999998807907,.80000001,.25,2,2,4,1,1,1,7.1100001,7.98,8.1099997,0,1,1,0,0,1,0,0,0,0,1,4.5,3.9890938,3.75,2.75,1,1,1
225355,735.3796412556054,.57999998,2017,-.3,4.299999997019768,.80000001,.5,2,2,2,0,3,2,7.8600001,7.6999998,7.9499998,1,1,0,0,0,0,1,0,0,0,1,4,3.9890938,3.75,2.75,1,0,1
225161,882.3526060606061,.33000001,2016,.05,4.079999998211861,.47999999,.25,2,2,4,1,3,2,8.1999998,8.21,8.1400003,0,1,1,0,0,1,1,0,0,1,0,4.1300001,3.6166666,4.5,3.75,1,1,1
225900,882.3526060606061,.52999997,2017,.22,4.029999986290932,.80000001,.25,2,2,4,1,2,1,8.25,8.1199999,8.1899996,0,0,1,0,1,0,0,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
225298,882.3526060606061,.63,2017,-.15,4.149999991059303,.80000001,.5,2,2,4,1,2,2,7.1100001,7.8800001,7.8000002,0,0,1,0,0,1,1,0,0,0,1,4,3.9890938,3.75,2.75,1,1,1
225927,882.3526060606061,.36000001,2017,.13,4.11999998986721,.95999998,.25,2,2,4,1,1,1,8.1800003,8,8.1300001,0,0,1,1,1,0,1,0,0,0,1,4.25,3.9890938,3.75,2.75,1,1,1
226007,735.3796412556054,.55000001,2017,-.8100000000000001,4.189999997615814,.69,.5,2,2,4,1,3,1,7.75,7.6900001,8.0699997,0,1,0,0,0,1,0,0,0,0,1,3.3800001,3.9890938,3.75,2.75,1,1,1
225321,2933.219107142857,.36000001,2016,-.88,4.129999995231628,1.01,.25,2,2,4,1,2,2,6.6799998,6.5700002,6.4299998,0,1,1,1,0,0,0,0,0,1,0,3.25,3.6166666,4.5,3.75,1,1,1
225041,621.0152564102565,.75,2017,.27,4.229999989271164,.23,.25,2,2,4,1,1,1,7.6300001,7.98,7.96,0,1,1,0,0,0,0,0,0,0,1,4.5,3.9890938,3.75,2.75,1,1,1
225086,1358.108130841121,.52999997,2017,.04,4.089999988675117,.85000002,.25,2,2,4,1,1,1,6.6300001,6.5999999,6.29,0,1,1,1,0,1,0,0,0,0,1,4.1300001,3.9890938,3.75,2.75,1,1,1
225263,735.3796412556054,.60000002,2017,-.55,4.299999997019768,1,.5,2,2,4,1,1,1,8.1099997,7.8699999,8.1199999,0,0,0,1,0,1,1,0,0,0,1,3.75,3.9890938,3.75,2.75,1,1,1
225232,1181.728561151079,.5,2016,-.19,3.939999997615814,.95999998,.25,2,1,4,1,2,1,6.0799999,5.8699999,5.23,0,0,0,1,0,0,1,0,0,1,0,3.75,3.6166666,4.5,3.75,1,1,1
225549,1516.543541666667,.43000001,2017,.17,4.209999993443489,.63999999,.25,2,2,4,1,1,1,7.7399998,6.73,7,0,0,1,0,0,0,1,0,0,0,1,4.3800001,3.9890938,3.75,2.75,1,1,1
