nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,i_open,considerations,applications,score_0,i_close_0,score_1,i_close_1,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate
202960,1028.749258064516,.61000001,2013,-.01,4.389999985694885,.75,.25,1,2,0,3,1,7.8499999,0,7.8200002,0,0,0,0,0,0,0,0,0,0,0,0,4.3800001
201524,1905.339552238806,.28999999,2013,-.83,4.459999993443489,.77999997,.25,2,1,1,3,3,7.8400002,0,7.75,0,0,0,0,0,0,0,1,0,0,0,0,3.6299999
203738,1706.654411764706,.28,2013,.34,4.28999999165535,.92000002,.5,2,1,0,2,1,7.46,0,7.9200001,0,0,0,0,0,0,0,1,0,0,0,0,4.6300001
201770,3025.065165876777,.27000001,2013,-.04,3.419999994337559,.95999998,.25,2,2,1,1,1,7.3899999,0,6.8000002,0,0,0,0,1,0,0,0,0,0,0,0,3.3799999
202666,1706.654411764706,.28,2013,.35,3.529999993741512,.94999999,.25,2,1,1,2,1,7.6900001,0,7.3800001,0,0,0,0,0,0,0,0,0,0,0,0,3.8799999
202977,1706.654411764706,.23,2013,.35,3.529999993741512,.75,.5,2,1,1,3,1,7.3600001,0,7.73,0,0,0,0,0,0,0,1,0,0,0,0,3.8799999
202858,1905.339552238806,.25,2013,.1,3.399999998509884,.64999998,.5,2,1,0,2,1,6.3099999,0,6.5300002,0,0,0,0,0,0,1,1,0,0,0,0,3.5
203061,1437.587274774775,.70999998,2013,.22,3.909999996423721,1.04,.75,2,2,0,3,1,6.5999999,0,6.9299998,0,0,1,1,0,0,0,1,0,0,0,0,4.1300001
203654,1028.749258064516,.58999997,2013,.6,4.399999991059303,.74000001,.75,2,2,1,1,1,7.2399998,0,7.21,0,0,1,0,0,0,0,0,0,0,0,0,5
203562,1028.749258064516,.57999998,2013,-.04,3.53999999910593,.79000002,.75,2,2,1,1,1,8.21,0,8.0500002,0,0,1,0,1,0,1,0,0,0,0,0,3.5
204127,1437.587274774775,.67000002,2013,-.04,3.53999999910593,.61000001,.5,2,2,0,1,1,7.0300002,0,7.5799999,0,0,0,1,0,1,0,1,0,0,0,0,3.5
203877,1028.749258064516,.64999998,2013,.59,4.28999999165535,.79000002,.5,2,2,0,1,1,7.5100002,0,6.9000001,0,0,0,1,0,0,1,1,0,0,0,0,4.8800001
201959,1028.749258064516,.67000002,2013,.03,3.349999994039536,.77999997,.25,2,2,0,2,2,6.73,0,7.27,1,1,1,0,0,1,0,1,0,0,0,0,3.3799999
203866,919.7485803237856,.47,2013,.19,4.309999987483025,.64999998,.25,2,2,1,3,1,8.1199999,0,8.0900002,0,0,0,1,1,0,1,1,0,0,0,0,4.5
201231,1028.749258064516,.62,2013,-.68,3.929999999701977,1.02,.25,2,1,1,1,1,8.1899996,0,7.9499998,0,0,0,0,1,0,0,0,0,0,0,0,3.25
204434,1028.749258064516,.66000003,2013,0,4.129999995231628,.34999999,.5,2,2,0,3,2,7.9699998,0,8.04,0,0,0,0,0,0,0,1,0,0,0,0,4.1300001
204362,1706.654411764706,.61000001,2013,-1.5,3.909999996423721,1,.75,2,2,0,1,1,5.9400001,0,6.54,1,1,1,0,1,0,1,0,0,0,0,0,2.4100001
204574,1437.587274774775,.40000001,2013,.18,3.569999992847443,.95999998,.25,2,1,0,1,1,7.1500001,0,7.1300001,0,0,0,0,1,0,0,1,0,0,0,0,3.75
200706,1028.749258064516,.51999998,2013,1.16,3.339999996125698,.70999998,.5,2,2,1,2,2,8.1999998,0,7.79,0,0,1,0,0,0,1,1,0,0,0,0,4.5
201144,1706.654411764706,.68000001,2013,.46,4.28999999165535,1.25,.5,2,2,1,1,1,6.0900002,0,6.9699998,0,0,1,1,0,0,0,0,0,0,0,0,4.75
203696,1706.654411764706,.46000001,2013,.02,3.979999996721745,.70999998,.5,2,2,0,1,1,7.4099998,0,7.5900002,1,1,0,0,0,0,1,1,0,0,0,0,4
202983,1437.587274774775,.74000001,2013,.18,4.319999992847443,.79000002,.25,2,1,1,1,1,7.4000001,0,7.02,0,0,0,0,1,1,0,0,0,0,0,0,4.5
201690,3025.065165876777,.40000001,2013,.59,3.53999999910593,1.25,.25,2,2,0,1,1,7.1300001,0,7.5599999,0,0,1,0,0,0,1,1,0,0,0,0,4.1300001
203773,1028.749258064516,.56999999,2013,.08,3.419999994337559,.67000002,.5,2,2,0,1,1,8.1099997,0,7.8800001,0,0,0,0,0,0,0,0,0,0,0,0,3.5
200337,1706.654411764706,.38,2013,-1.21,4.459999993443489,.95999998,.25,2,1,0,2,2,7.1599998,0,6.96,0,0,0,0,1,0,0,1,0,0,0,0,3.25
202342,1706.654411764706,.37,2013,.36,4.389999985694885,.88999999,0,2,2,0,2,2,7.6399999,0,7.6100001,0,0,1,1,0,0,1,0,0,0,0,0,4.75
201420,1437.587274774775,.58999997,2013,.53,3.349999994039536,1.25,.25,2,2,1,2,1,7.0799999,0,7,0,0,1,1,0,0,0,0,0,0,0,0,3.8799999
201989,1437.587274774775,.50999999,2013,.48,4.399999991059303,.66000003,.5,2,2,0,2,1,6.7399998,0,6.1500001,0,0,1,0,0,0,1,0,0,0,0,0,4.8800001
200936,1706.654411764706,.55000001,2013,-.17,3.419999994337559,.93000001,.5,2,2,0,1,1,6.9499998,0,7.0300002,0,0,1,1,1,0,1,1,0,0,0,0,3.25
202701,1706.654411764706,.47999999,2013,.03,3.349999994039536,.95999998,.5,2,2,1,2,1,6.9299998,0,7.1300001,0,0,0,0,1,0,0,0,0,0,0,0,3.3799999
203677,1905.339552238806,.37,2013,0,3.379999995231628,.88999999,.5,2,2,0,2,1,7.2199998,0,6.9000001,0,0,1,1,0,0,1,1,0,0,0,0,3.3800001
200267,1028.749258064516,.46000001,2013,.25,4.129999995231628,.93000001,.25,2,2,1,1,1,7.8499999,0,7.9899998,0,0,0,1,0,0,0,1,0,0,0,0,4.3800001
200392,1028.749258064516,.5,2013,.35,3.399999998509884,.74000001,.25,2,2,0,1,1,7.52,0,7.4499998,0,0,1,0,0,0,0,0,0,0,0,0,3.75
204381,1905.339552238806,.50999999,2013,0,3.629999995231628,.75,.5,2,2,1,1,1,8.0900002,0,7.6399999,0,0,0,0,0,0,1,0,0,0,0,0,3.6300001
203781,1706.654411764706,.41999999,2013,-.02,3.519999995827675,.95999998,.25,2,2,0,1,1,7.3499999,0,6.3699999,0,0,1,1,1,0,1,1,0,0,0,0,3.5
203785,1437.587274774775,.67000002,2013,.77,3.979999996721745,1,.5,2,1,0,2,1,5.8400002,0,6.3699999,0,0,0,1,1,0,1,1,0,0,0,0,4.75
204493,1028.749258064516,.70999998,2013,-.16,4.28999999165535,.73000002,.25,2,2,1,1,1,8.2600002,0,8.1199999,0,0,1,0,0,0,0,0,0,0,0,0,4.1300001
202968,1437.587274774775,.66000003,2013,0,4.129999995231628,.47,.25,2,2,1,1,1,7.3600001,0,7.6199999,0,0,0,0,1,0,1,1,0,0,0,0,4.1300001
201642,1706.654411764706,.41,2013,-.76,4.509999990463257,.75999999,1,2,2,0,1,1,7.1999998,0,6.75,1,1,1,0,1,0,0,1,0,0,0,0,3.75
202564,1437.587274774775,.34999999,2013,.48,3.399999998509884,.94999999,.25,2,2,1,3,2,7.8499999,0,8.0600004,0,0,0,1,0,1,0,1,0,0,0,0,3.8800001
201392,1905.339552238806,.34,2013,.1,4.399999991059303,.77999997,.5,2,1,1,4,1,7.1399999,0,7.4299998,0,0,0,0,0,0,1,1,0,0,0,0,4.5
204190,1706.654411764706,.31999999,2013,.21,3.53999999910593,.95999998,.25,2,1,0,2,1,7.3600001,0,7.1199999,0,0,0,0,1,0,1,1,0,0,0,0,3.75
200288,1905.339552238806,.28999999,2013,.1,4.399999991059303,.88999999,.25,2,1,0,1,2,7.1500001,0,7.0900002,0,0,0,1,0,0,1,0,0,0,0,0,4.5
201191,3025.065165876777,.28,2013,.16,3.339999996125698,.88999999,.25,2,2,0,1,1,7.4000001,0,7.6199999,0,0,1,0,0,0,0,0,0,0,0,0,3.5
202607,1905.339552238806,.37,2013,-.06,3.809999994933605,.92000002,.5,2,2,0,2,1,7.0500002,0,7.5999999,0,0,1,1,1,0,1,1,0,0,0,0,3.75
203967,1437.587274774775,.47,2013,-.31,3.809999994933605,.73000002,.25,2,2,1,1,1,8.04,0,8.0500002,0,0,1,0,0,0,0,0,0,0,0,0,3.5
202842,1706.654411764706,.67000002,2013,.26,3.369999997317791,.61000001,.5,2,2,1,2,1,8.0500002,0,7.9200001,0,0,1,1,0,0,1,1,0,0,0,0,3.6300001
203516,1028.749258064516,.66000003,2013,.28,3.349999994039536,.67000002,.5,2,2,1,3,1,8.2600002,0,8.04,0,0,0,1,0,1,0,1,0,0,0,0,3.6299999
200680,1437.587274774775,.37,2013,-.13,3.379999995231628,1.02,.25,2,1,0,2,1,7.3000002,0,6.5700002,0,0,0,1,1,0,0,1,0,0,0,0,3.25
203522,1028.749258064516,.38,2013,-.18,3.559999994933605,.92000002,.75,2,2,1,3,2,8.21,0,8.04,0,0,1,1,1,1,0,1,0,0,0,0,3.3799999
202930,1706.654411764706,.34999999,2013,-.02,4.399999991059303,.80000001,.5,2,2,0,2,1,7.6900001,0,7.7800002,0,0,0,1,0,0,1,1,0,0,0,0,4.3800001
203145,3025.065165876777,.34999999,2013,.48,3.399999998509884,1.25,.5,2,2,0,1,1,6.3099999,0,6.3499999,0,0,1,1,0,0,1,1,0,0,0,0,3.8800001
200704,1713.591902552204,.33000001,2013,.4,3.979999996721745,1,.5,2,1,1,2,2,6.6999998,0,5.1199999,0,0,0,1,1,0,1,0,0,0,0,0,4.3800001
204317,1437.587274774775,.31999999,2013,.12,3.379999995231628,1,.5,2,2,1,2,1,7.46,0,7.4400001,0,0,0,0,1,0,0,0,0,0,0,0,3.5
201820,1028.749258064516,.56,2013,-.12,4.36999998986721,.95999998,.5,2,2,1,1,1,7.3499999,0,6.96,0,0,0,1,1,0,0,0,0,0,0,0,4.25
200157,1706.654411764706,.31,2013,.83,3.419999994337559,.82999998,.25,2,2,1,3,1,7.7399998,0,7.8699999,0,0,1,1,0,0,1,1,0,0,0,0,4.25
200494,1437.587274774775,.5,2013,.1,3.529999993741512,.75999999,.5,2,2,1,1,1,7.1999998,0,7.3299999,0,0,1,0,0,0,0,1,0,0,0,0,3.6299999
204454,1706.654411764706,.30000001,2013,-.03,3.909999996423721,1.02,.25,2,1,0,3,1,7.1599998,0,7.4200001,0,0,0,1,1,0,1,0,0,0,0,0,3.8800001
204359,1905.339552238806,.23999999,2013,.47,3.529999993741512,.94999999,.5,2,1,0,1,1,6.8600001,0,7.02,0,0,0,0,0,0,0,1,0,0,0,0,4
201744,1905.339552238806,.31,2013,.23,4.399999991059303,.95999998,.5,2,1,1,1,1,6.2199998,0,6.6900001,0,0,0,0,1,0,0,0,0,0,0,0,4.6300001
203749,1437.587274774775,.25,2013,.82,4.309999987483025,.97000003,.5,2,1,0,2,1,7.79,0,7.96,0,0,0,0,0,0,1,1,0,0,0,0,5.1300001
200805,1208.769410801964,.28999999,2013,.1,4.279999986290932,.76999998,.25,2,1,0,2,2,7.9899998,0,7.9099998,0,0,0,0,0,0,0,1,0,0,0,0,4.3800001
202603,3025.065165876777,.41,2013,-1.18,4.309999987483025,.80000001,.5,2,1,0,2,1,7.0599999,0,7.54,1,1,0,1,1,1,0,1,0,0,0,0,3.1299999
203591,919.7485803237856,.70999998,2013,.11,4.389999985694885,.80000001,0,2,1,1,3,1,8.2200003,0,8.1300001,0,0,0,1,0,0,0,1,0,0,0,0,4.5
